name,category,year,courseid,credit,duration,schedule,current_students,total_students,note
원가회계,이중(부)전공,4,D03313101,3,3,수 4 5 6 ( ),38,50,"원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),이중(부)전공,3,D03205501,3,3,화 7 8 9 ( ),61,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),이중(부)전공,3,D03205502,3,3,목 4 5 6 ( ),65,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),이중(부)전공,3,D03205503,3,3,월 7 8 9 ( ),2,60,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
조직행동,이중(부)전공,3,D01314105,3,3,월 1 2 3 ( ),58,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
회계원리,이중(부)전공,3,D01205C01,3,3,수 1 2 3 ( ),79,60,"전필, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
회계원리,이중(부)전공,3,D01205C02,3,3,화 4 5 6 ( ),38,60,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
경제수학,전공,1,D02103101,3,3,월 1 2 3 ( ),70,70,"비대면(학기 전체), 1전공자만 수강 가능"
경제수학,전공,1,D02103102,3,3,금 1 2 3 ( ),75,66,"비대면(학기 전체), 1전공자만 수강 가능"
경제학원론(1),전공,1,D01101401,3,3,화 4 5 6 ( ),83,70,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
경제학원론(1),전공,1,D01101402,3,3,월 7 8 9 ( ),65,60,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
거시경제학,전공,2,D03310101,3,3,수 7 8 9 ( ),48,60,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
거시경제학,전공,2,D03310102,3,3,금 4 5 6 ( ),65,60,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
경제사,전공,2,D02203101,3,3,월 7 8 9 ( ),93,100,"비대면(학기 전체), 1전공자만 수강 가능"
계량경제학,전공,2,D02354201,3,3,화 1 2 3 ( ),147,150,비대면(학기 전체)
미시경제학,전공,2,D02207101,3,3,화 4 5 6 ( ),37,50,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
미시경제학,전공,2,D02207102,3,3,목 1 2 3 ( ),66,60,"전필, 비대면(학기 전체), 1전공자만 수강 가능"
개발협력의경제학,전공,3,D02313101,3,3,수 1 2 3 ( ),98,100,비대면(학기 전체)
게임이론,전공,3,D01386101,3,3,화 4 5 6 ( ),70,70,"비대면(학기 전체), 1전공자만 수강 가능"
국제금융론,전공,3,D01304501,3,3,월 1 2 3 ( ),52,60,"비대면(학기 전체), 1전공자만 수강 가능"
화폐금융론,전공,3,D02204202,3,3,수 4 5 6 ( ),43,60,"비대면(학기 전체), 1전공자만 수강 가능"
공공경제학,전공,4,D02363102,3,3,목 7 8 9 ( ),43,60,"비대면(학기 전체), 1전공자만 수강 가능"
금융투자론,전공,4,D02465101,3,3,월 4 5 6 ( ),29,50,비대면(학기 전체)
노동경제학,전공,4,D02407201,3,3,화 7 8 9 ( ),92,100,비대면(학기 전체)
정보통신경제학,전공,4,D02307102,3,3,화 7 8 9 ( ),39,60,비대면(학기 전체)
한국경제론,전공,4,D02401201,3,3,화 1 2 3 ( ),39,50,"비대면(학기 전체), 1전공자만 수강 가능"
거시경제학,이중(부)전공,3,D03310103,3,3,월 7 8 9 ( ),57,60,"전필, 비대면(학기 전체), 1전공자 수강 불가"
거시경제학,이중(부)전공,3,D03310104,3,3,수 4 5 6 ( ),78,60,"전필, 비대면(학기 전체), 1전공자 수강 불가"
거시경제학,이중(부)전공,3,D03310105,3,3,목 7 8 9 ( ),44,60,"전필, 비대면(학기 전체), 1전공자 수강 불가"
거시경제학,이중(부)전공,3,D03310106,3,3,금 7 8 9 ( ),59,60,"전필, 비대면(학기 전체), 1전공자 수강 불가"
경제사,이중(부)전공,3,D02203102,3,3,화 7 8 9 ( ),139,150,"비대면(학기 전체), 1전공자 수강 불가"
경제수학,이중(부)전공,2,D02103103,3,3,금 7 8 9 ( ),98,71,"비대면(학기 전체), 1전공자 수강 불가"
경제수학,이중(부)전공,2,D02103104,3,3,목 4 5 6 ( ),77,70,"비대면(학기 전체), 1전공자 수강 불가"
경제수학,이중(부)전공,2,D02103105,3,3,월 4 5 6 ( ),78,70,"비대면(학기 전체), 1전공자 수강 불가"
경제학원론(1),이중(부)전공,2,D01101001,3,3,월 1 2 3 ( ),120,82,"전필, 비대면(학기 전체), 1전공자 수강 불가"
경제학원론(1),이중(부)전공,2,D01101002,3,3,수 1 2 3 ( ),70,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
경제학원론(1),이중(부)전공,2,D01101003,3,3,수 7 8 9 ( ),68,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
경제학원론(1),이중(부)전공,2,D01101004,3,3,목 1 2 3 ( ),87,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
경제학원론(2),이중(부)전공,2,D01102001,3,3,월 7 8 9 ( ),44,50,"전필, 비대면(학기 전체)"
계량경제학,이중(부)전공,3,D02354202,3,3,수 1 2 3 ( ),141,150,비대면(학기 전체)
미시경제학,이중(부)전공,3,D02207103,3,3,목 1 2 3 ( ),80,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
미시경제학,이중(부)전공,3,D02207104,3,3,목 4 5 6 ( ),76,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
미시경제학,이중(부)전공,3,D02207105,3,3,금 1 2 3 ( ),85,70,"전필, 비대면(학기 전체), 1전공자 수강 불가"
미시경제학,이중(부)전공,3,D02207106,3,3,월 4 5 6 ( ),54,60,"전필, 비대면(학기 전체), 1전공자 수강 불가"
게임이론,이중(부)전공,4,D01386102,3,3,수 4 5 6 ( ),78,85,"비대면(학기 전체), 1전공자 수강 불가"
국제금융론,이중(부)전공,4,D01304502,3,3,화 1 2 3 ( ),67,70,"비대면(학기 전체), 1전공자 수강 불가"
화폐금융론,이중(부)전공,4,D02204201,3,3,화 4 5 6 ( ),77,70,"비대면(학기 전체), 1전공자 수강 불가"
공공경제학,이중(부)전공,4,D02363101,3,3,목 4 5 6 ( ),90,100,"비대면(학기 전체), 1전공자 수강 불가"
정보통신경제학,이중(부)전공,4,D02307101,3,3,수 7 8 9 ( ),78,70,"비대면(학기 전체), 1전공자 수강 불가"
P.R의이해,전공,2,C03303101,3,3,월 4 5 6 ( ),77,67,"전필, 비대면(학기 전체)"
광고의이해,전공,2,C03301101,3,3,금 4 5 6 ( ),18,60,"전필, 비대면(학기 전체)"
광고의이해,전공,2,C03301102,3,3,금 7 8 9 ( ),71,66,"전필, 비대면(학기 전체)"
PR조사기획,전공,3,C03381201,3,3,월 7 8 9 ( ),50,60,비대면(학기 전체)
브랜드사례연구,전공,3,C04306201,3,3,화 4 5 6 ( ),66,61,비대면(학기 전체)
소비자행동론,전공,3,D03451301,3,3,수 1 2 3 ( ),69,60,비대면(학기 전체)
공공브랜딩,전공,4,C03489101,3,3,수 7 8 9 ( ),49,60,비대면(학기 전체)
"국가브랜드,국가이미지",전공,4,C03217101,3,3,화 7 8 9 ( ),46,60,비대면(학기 전체)
쟁점· 위기커뮤니케이션관리,전공,4,C03490201,3,3,수 4 5 6 ( ),32,60,비대면(학기 전체)
외국어교과교육론,부전공,3,V43201201,3,3,월 1 2 3 (2502),11,25,대면
외국어교재연구및지도법,부전공,3,V43203201,3,3,목 1 2 3 (2401),11,25,대면
외국어논리및논술,부전공,3,V43501101,2,2,금 1 2 (2401),14,25,대면
교육봉사,교직,2,V43254101,2,2,월 1 2 ( ),64,80,비대면(학기 전체)
교육심리,교직,2,E11301101,2,2,목 1 2 (1502),34,30,대면
교육심리,교직,2,E11301102,2,2,목 3 4 (1502),33,30,대면
교육철학및교육사,교직,2,E11202101,2,2,월 7 8 (1604),31,30,대면
교육철학및교육사,교직,2,E11202102,2,2,월 9 10 (1604),19,30,대면
인간과교육,교직,2,E11205101,2,2,월 5 6 (1203),33,30,대면
인간과교육,교직,2,E11205102,2,2,수 5 6 (2403),35,30,대면
교육과정,교직,3,V43407301,2,2,화 5 6 (3307),33,30,대면
교육과정,교직,3,V43407302,2,2,화 3 4 (3307),31,30,대면
교육방법및교육공학,교직,3,E11304101,2,2,목 3 4 (3508),30,30,대면
교육방법및교육공학,교직,3,E11304102,2,2,목 5 6 (3508),31,30,대면
교육평가,교직,3,E11302301,2,2,화 3 4 (1203),15,30,대면
특수교육의이해,교직,3,E11315101,2,2,수 5 6 (3301),27,30,대면
특수교육의이해,교직,3,E11315102,2,2,수 7 8 (3301),30,30,대면
학교폭력예방및학생의이해,교직,3,E11456101,2,2,목 7 8 (3307),33,30,대면
학교폭력예방및학생의이해,교직,3,E11456102,2,2,목 9 10 (3307),18,30,대면
교육사회학,교직,4,E11453301,2,2,금 3 4 (1402),24,30,대면
교육사회학,교직,4,E11453302,2,2,금 5 6 (1402),28,30,대면
교육실습,교직,4,E11401101,2,2,수 1 2 ( ),80,80,비대면(학기 전체)
교육실습,교직,4,E11401102,2,2,수 3 4 ( ),48,70,비대면(학기 전체)
교육행정및학교경영,교직,4,E11405101,2,2,월 3 4 (3307),30,30,대면
교육행정및학교경영,교직,4,E11405102,2,2,수 3 4 (3307),25,30,대면
교직실무,교직,4,E11311102,2,2,월 5 6 (1302),34,30,대면
교직실무,교직,4,E11311103,2,2,화 1 2 (1302),26,30,대면
생활지도와상담,교직,4,E11355101,2,2,월 7 8 (2605),32,30,대면
지속가능발전교육,교직,4,E11353101,2,2,금 9 10 (1407),16,30,대면
Business Law(기업법),전공,1,D03208403,3,3,월 4 5 6 ( ),19,60,"전필, 원어, 비대면(학기 전체), 1전공만 수강 가능"
Business Law(기업법),전공,1,D03208404,3,3,금 4 5 6 ( ),66,61,"전필, 원어, 비대면(학기 전체), 1전공만 수강 가능"
Mathematics for Economics,전공,1,D02103401,3,3,월 1 2 3 ( ),39,60,"전필, 원어, 비대면(학기 전체), 1전공만 수강 가능"
Mathematics for Economics,전공,1,D02103403,3,3,월 7 8 9 ( ),60,60,"전필, 원어, 비대면(학기 전체), 1전공만 수강 가능"
Principles of Economics (1),전공,1,D01101F03,3,3,목 1 2 3 ( ),67,61,"전필, 비대면(학기 전체), 1전공만 수강 가능"
